criterion_id	value_id	create_date
3	1	
3	2	
4	3	
4	4	
4	5	
5	3	
5	4	
5	5	
6	3	
6	4	
6	5	
7	3	
7	4	
7	5	
8	6	
8	7	
8	8	
8	9	
8	10	
8	11	
8	12	
8	13	
8	14	
8	15	
9	3	
9	4	
9	5	
11	3	
11	4	
11	5	
13	3	
13	4	
13	5	
15	3	
15	4	
15	5	
16	3	
16	4	
16	5	
19	3	
19	4	
19	5	
21	3	
21	4	
21	5	
22	19	
22	20	
22	21	
22	5	
23	3	
23	4	
23	5	
25	3	
25	4	
25	5	
26	3	
26	4	
26	5	
27	3	
27	4	
27	5	
28	3	
28	4	
28	5	
29	3	
29	4	
29	5	
30	3	
30	4	
30	5	
31	3	
31	4	
31	5	
32	3	
32	4	
32	5	
33	3	
33	4	
33	5	
34	3	
34	4	
34	5	
35	3	
35	4	
35	5	
36	3	
36	4	
36	5	
37	3	
37	4	
37	5	
38	3	
38	4	
38	5	
58	3	
58	4	
58	5	
59	3	
59	4	
59	5	
60	3	
60	4	
60	5	
61	3	
61	4	
61	5	
62	3	
62	4	
62	5	
63	3	
63	4	
63	5	
64	3	
64	4	
64	5	
77	3	
77	4	
77	5	
78	3	
78	4	
78	5	
79	3	
79	4	
79	5	
8	16	
8	17	
8	18	
80	3	
80	4	
80	5	
8	59	
82	60	
82	61	
84	3	
84	4	
84	5	
85	3	
85	4	
85	5	
86	3	
86	4	
86	5	
89	3	
89	4	
89	5	
92	3	
92	4	
92	5	
93	3	
93	4	
93	5	
94	3	
94	4	
94	5	
99	3	
99	4	
99	5	
100	3	
100	4	
100	5	
101	3	
101	4	
101	5	
102	3	
102	4	
102	5	
103	3	
103	4	
103	5	
109	3	
109	4	
109	5	
110	3	
110	4	
110	5	
111	3	
111	4	
111	5	
112	95	
112	96	
112	97	
112	98	
112	5	
113	3	
113	4	
113	5	
114	96	
114	97	
114	98	
114	5	
116	3	
116	4	
116	5	
117	3	
117	4	
117	5	
118	3	
118	4	
118	5	
119	3	
119	4	
119	5	
120	3	
120	4	
120	5	
121	3	
121	4	
121	5	
122	3	
122	4	
122	5	
123	3	
123	4	
123	5	
124	3	
124	4	
124	5	
125	3	
125	4	
125	5	
126	3	
126	4	
126	5	
127	3	
127	4	
127	5	
128	3	
128	4	
128	5	
129	3	
129	4	
129	5	
130	3	
130	4	
130	5	
131	3	
131	4	
131	5	
132	3	
132	4	
132	5	
133	3	
133	4	
133	5	
134	3	
134	4	
134	5	
135	3	
135	4	
135	5	
136	3	
136	4	
136	5	
137	3	
137	4	
137	5	
138	3	
138	4	
138	5	
139	3	
139	4	
139	5	
140	3	
140	4	
140	5	
141	3	
141	4	
141	5	
24	111	
24	112	
24	113	
24	114	
24	115	
142	3	
142	4	
142	5	
143	3	
143	4	
143	5	
144	3	
144	4	
144	5	
145	3	
145	4	
145	5	
146	3	
146	4	
146	5	
147	3	
147	4	
147	5	
148	3	
148	4	
148	5	
150	3	
150	4	
150	5	
151	3	
151	4	
151	5	
