id	name	code	create_date	active
1	St. Jude Children's Research Hospital			1
2	Children's Hospital of Orange County			1
3	Lucille Packard Children's Hospital Stanford University			1
4	UNC Lineberger Comprehensive Cancer Center			1
5	St. Jude Children's Research Hospital			1
6	Children's Hospital of Alabama			0
7	Children's Hospital Los Angeles			0
8	Children's Hospital of Orange County			0
9	UCSF Medical Center-Mission Bay			0
10	Children's Hospital Colorado			0
11	Children's National Medical Center			0
12	Children's Healthcare of Atlanta - Egleston			0
13	Lurie Children's Hospital-Chicago			0
14	Riley Hospital for Children			0
15	C S Mott Children's Hospital			0
16	University of Minnesota/Masonic Cancer Center			0
17	Washington University School of Medicine			0
18	NYP/Columbia University Medical Center/Herbert Irving Comprehensive Cancer Center			0
19	Cincinnati Children's Hospital Medical Center			0
20	Children's Hospital of Philadelphia			0
21	Children's Hospital of Pittsburgh of UPMC			0
22	Saint Jude Children's Research Hospital			0
23	Baylor College of Medicine/Dan L Duncan Comprehensive Cancer Center			0
24	Seattle Children's Hospital			0
25	Children's Hospital Los Angeles			1
26	Children's Hospital Orange County			1
27	UCSF School of Medicine			1
28	The Children's Hospital, University of Colorado			1
29	Children's National Medical Center			1
30	University of Miami			1
31	All Children's Hospital			1
32	Children's Healthcare of Atlanta, Emory University			1
33	Lurie Children's Hospital of Chicago			1
34	Johns Hopkins University			1
35	Sidney Kimmel Cancer Center at Johns Hopkins			1
36	National Cancer Institute, Pediatric Oncology Branch			1
37	Dana-Farber Cancer Institute			1
38	C.S. Mott Children's Hospital			1
39	CS Mott Children's Hospital, Ann Arbor			1
40	Children's Hospitals and Clinics of Minnesota			1
41	New York University Medical Center			1
42	Children's Hospital New York-Presbyterian			1
43	Levine Children's Hospital			1
44	Cincinnati Children's Hospital			1
45	Nationwide Children's Hospital			1
46	Oregon Health and Science University			1
47	Children's Hospital of Philadelphia			1
48	Cook Children's Medical Center			1
49	Texas Children's Cancer Center, Baylor			1
50	Primary Children's Hospital			1
51	Seattle Children's Hospital			1
52	Medical College of Wisconsin			1
53	Sydney Children's Hospital			1
54	Children's Hospital at Westmead			1
55	British Columbia Children's Hospital			1
56	Toronto, Ontario, Canada, M5G 1X8			1
57	Sainte Justine University Hospital			1
58	M D Anderson Cancer Center			1
59	Children's Hospital of Philadelphia			1
